id,translatedSet,src,tgt
8698,Test User 401 | Turtle Story PE L4 | Hindi -> English,कछुआ,Tortoise.
8672,Test User 401 | Turtle Story PE L4 | Hindi -> English,मैंने राहत की साँस ली और चढ़ गई बेड़े पर,"I have made relief and a murmur ,"
8671,Test User 401 | Turtle Story PE L4 | Hindi -> English,इस बेड़े पर मैं सालों - साल रहने वाली थी - सुखी और सुरक्षित,I was going to live at the fleet for years- happy and safe. .
8670,Test User 401 | Turtle Story PE L4 | Hindi -> English,बेड़े पर मेरा जीवन किसी विश्व - यात्रा से कम नहीं था,Life at fleet was not less than a foreign travel..
8669,Test User 401 | Turtle Story PE L4 | Hindi -> English,बहुत मज़ा आ रहा था,It was great fun.
8668,Test User 401 | Turtle Story PE L4 | Hindi -> English,लेकिन अब मैं बड़ी भी तो हो रही थी,But now i was also growing up
8667,Test User 401 | Turtle Story PE L4 | Hindi -> English,बाहर की दुनिया की सैर करना चाहती थी,Wanted to travel the world..
8666,Test User 401 | Turtle Story PE L4 | Hindi -> English,प्रवालभित्ति या रीफ़ के बारे में मैंने कैसी - कैसी मज़ेदार कहानियाँ सुनी थीं,I had heard many funny stories about coral reef..
8665,Test User 401 | Turtle Story PE L4 | Hindi -> English,बहुत सारे कछुए रहते थे वहाँ,Many tortoises live there.
8664,Test User 401 | Turtle Story PE L4 | Hindi -> English,सब कहते थे कि रीफ़ सागर का परीलोक है,All of them said the reef was fairy world of the sea. 
8663,Test User 401 | Turtle Story PE L4 | Hindi -> English,"कितने ही रंग - बिरंगे , चमकीले प्राणियों का घर - क्लाउन मछली जैसे प्यारे और स्कॉरपियन मछली जैसे ज़हरीले जंतु रहते थे वहाँ","The house of so many colourful , bright animals- lovely animals like clown fish and poisonous animals like scorpion lived there.e ."
8662,Test User 401 | Turtle Story PE L4 | Hindi -> English,लेकिन मुझे कैसे पता चलेगा कि वह कहाँ है,But how will i know where is it??
8661,Test User 401 | Turtle Story PE L4 | Hindi -> English,फिर एकाएक अँधेरा छा गया,Then darkness surrounded suddenly.
8660,Test User 401 | Turtle Story PE L4 | Hindi -> English,एक बहुत बड़ी छाया ने मुझे ढक लिया,A very big shadow covered me.
8659,Test User 401 | Turtle Story PE L4 | Hindi -> English,डर के मारे मैंने ऊपर देखा,I looked up in fear.
8658,Test User 401 | Turtle Story PE L4 | Hindi -> English,वह एक विशालकाय कछुआ था - इतना बड़ा तो मैंने कभी नहीं देखा था,That was a giant tortoise. I haven't seen so big.
8657,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,सियार और खरगोश बहुत अच्छे मित्र थे,Jackal and Rabbit were very good friends.
8656,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,एक दिन सियार की पत्नी को बुख़ार आया,One day Jackal's wife got a fever
8655,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,"सियार ने खरगोश को बुला कर कहा , ए दोस्त , मेरी पत्नी को तेज़ बुख़ार है","Jackal called the rabbit and said, my friend, my wife is in a high fever"
8654,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,उसे कुछ भी खाना नहीं भा रहा है,He does not like to eat anything.
8653,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,अब उसकी इच्छा केंकड़ा खाने की है,Now he wants to eat crab.
8652,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,खरगोश ने कहा कि चल कर एक केंकड़ा लाया जाए,The rabbit said to go and bring a crab.
8651,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,तुरंत ही दोनों मित्र केंकड़े की खोज में निकल पड़े,Immediately both friends set out in search of crab.
8650,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,सियार एक ओर गया और खरगोश दूसरी ओर गया,The wolf went to one side and the rabbit to the other side.
8649,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,चलते - चलते खरगोश को कीचड़ में केंकड़े का एक बिल दिखा,"While walking, the rabbit saw a bill of crab in the mud."
8648,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,उसने बिल में झाँक कर देखा,He looked into the bill
8647,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,एक मोटा केंकड़ा अन्दर बैठा था,A fat crab was sitting inside
8646,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,"यह एकदम सही रहेगा , खरगोश ने सोचा","It would be perfect, the rabbit thought"
8645,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,उसने ध्यान से बिल में हाथ डाला,He carefully put his hand in the bill.
8644,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,बिल गहरा था,The bill was deep.
8643,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,उसका हाथ न पहुँच पाने पर खरगोश ने अपनी पूँछ को बिल में डाला,"Unable to reach his hand, the rabbit put his tail in the bill."
8642,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,बिल में बैठे केंकड़े ने पूँछ को ज़ोर से काटा और जकड़ लिया,The crab sitting in the bill severely cut the tail and gripped it.
8641,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,खरगोश चिल्लाया,Rabbit shouted
8640,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,खरगोश का चिल्लाना सुन कर सियार दौड़ा आया,The jackal ran after hearing the shout of the rabbit.
8639,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,"खरगोश ने उससे कहा , अब देखो मत , मुझे ज़ोर से खींचो , मेरी पूँछ अन्दर फँसी हुई है","Rabbit said to him, now don't look, pull me harder, my tail is trapped inside."
8638,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,सियार ने खरगोश के दोनों कान पकड़े और खींचने लगा,The wolf grabbed both ears of the rabbit and started pulling.
8637,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,इधर - उधर हिलता देख कर केंकड़े ने खरगोश की पूँछ को फिर ज़ोर से काटा,"Seeing the movement here and there, the crab cut the tail of the rabbit again."
8636,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,दर्द के मारे खरगोश उछल पड़ा,The rabbit leaped in pain.
8635,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,उसकी पूँछ कट कर बिल के अन्दर रह गई,His tail was cut and left inside the bill
8634,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,सियार के खींचने से उसके कान लम्बे हो गए,Jackal's pull made his ears long.
8633,Test User 501 | The Rabbit's Long Ears MT L2 | Hindi -> English,उसी दिन से खरगोश की दुम छोटी सी रह गई और उसके कान लम्बे हो गए,"From the same day, the tail of the rabbit remained small and its ears became long."
8632,Test User 1101 | Under My Bed MT L2 | Hindi -> English,मेरी आँख खुली,
8631,Test User 1101 | Under My Bed MT L2 | Hindi -> English,मुझे प्यास लगी थी,
8630,Test User 1101 | Under My Bed MT L2 | Hindi -> English,पानी लाने के लिए मैंने अपनी चप्पल ढूँढी,
8629,Test User 1101 | Under My Bed MT L2 | Hindi -> English,हाय,
8628,Test User 1101 | Under My Bed MT L2 | Hindi -> English,मेरे पलंग के नीचे शेर है,
8627,Test User 1101 | Under My Bed MT L2 | Hindi -> English,अब क्या करूँ,
8626,Test User 1101 | Under My Bed MT L2 | Hindi -> English,माँ को बुलाऊँ,
8625,Test User 1101 | Under My Bed MT L2 | Hindi -> English,कहीं शेर दहाड़ने लगा तो,
8624,Test User 1101 | Under My Bed MT L2 | Hindi -> English,फिर से सो जाऊँ,
8623,Test User 1101 | Under My Bed MT L2 | Hindi -> English,मगर नींद नहीं आती,
8622,Test User 1101 | Under My Bed MT L2 | Hindi -> English,अचानक किसी ने बत्ती जलाई,
8621,Test User 1101 | Under My Bed MT L2 | Hindi -> English,दरवाज़े पर माँ खड़ी हैं,
8620,Test User 1101 | Under My Bed MT L2 | Hindi -> English,क्या बात है बेटा,
8619,Test User 1101 | Under My Bed MT L2 | Hindi -> English,माँ कहती हैं,
8618,Test User 1101 | Under My Bed MT L2 | Hindi -> English,मुझे बुलाया था,
8617,Test User 1101 | Under My Bed MT L2 | Hindi -> English,मैं शेर की ओर इशारा करता हूँ,
8616,Test User 1101 | Under My Bed MT L2 | Hindi -> English,माँ झुकती हैं और शेर को खींचकर बाहर निकालती हैं,
8615,Test User 1101 | Under My Bed MT L2 | Hindi -> English,अरे,
8614,Test User 1101 | Under My Bed MT L2 | Hindi -> English,कोई शेर - वेर नहीं है,
8613,Test User 1101 | Under My Bed MT L2 | Hindi -> English,यह तो मेरा मोटा पीला - काला स्वेटर है,
8612,Test User 1101 | Under My Bed MT L2 | Hindi -> English,इसके बटन शेर की आँखों की तरह चमकते हैं,
8611,Test User 1101 | Under My Bed MT L2 | Hindi -> English,मैं तो ऐसे ही डर गया,
8610,Test User 1101 | Under My Bed MT L2 | Hindi -> English,माँ मुझे पानी पिलाती हैं,
8609,Test User 1101 | Under My Bed MT L2 | Hindi -> English,अब मैं सो जाऊँगा,
8608,Test User 1101 | Under My Bed MT L2 | Hindi -> English,जंगल में असली शेरों के सपने जो देखने हैं,
8607,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,चाँद का तोहफ़ा,Gift of the moon
8606,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,हम सब दशहरा का मेला देखने गए,We all went to see the fair of Dussehra.
8605,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,पापा ने चिन्टू के लिए फ़ैंसी चश्मे खरीदे,Papa bought fancy glasses for Chintu
8604,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,माँ ने मेरे लिए एक चमकती नीली टोपी खरीदी और मुन्नी को मिली टॉफ़ी,Mother bought me a shining blue hat and Munni got the toffee.
8603,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,घर जाते समय ज़ोर की हवा चली,There was a strong breeze on the way home.
8602,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,वह मेरी टोपी उड़ा ले गई,She took off my hat.
8601,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,मेरी टोपी एक पुराने पीपल के पेड़ की डाली पर जा लटकी,My hat hung on the cast of an old peepal tree.
8600,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,मैं खूब रोया,I cried a lot
8599,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,और रात का खाना भी नहीं खाया,And didn't even eat dinner.
8598,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,"देर रात में , चाँद निकला","Late in the night, the moon came out."
8597,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,उसने पुराने पीपल पर मेरी टोपी देखी,He saw my hat on the old peeple
8596,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,चाँद ने मेरी टोपी पहनी और खुशी से मुस्कराया,The moon wore my hat and smiled happily.
8595,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,मैं भी मुस्कराया,I also smiled.
8594,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,"अगले दिन , स्कूल के बाद , माँ ने मुझे एक नई चमकती लाल टोपी दी","The next day, after school, Mother gave me a new flashing red hat."
8593,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,"चाँद ने भेजी है , माँ ने कहा","The moon has sent, mother said."
8592,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,"उस रात , चाँद और मैं , दोनों ने अपनी टोपियाँ पहनीं और मुस्कराए","That night, both Moon and I wore our hats and smiled."
8591,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,हम खुश थे,We were happy
8590,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,आपका क्या ख्याल है,What do you think
8589,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,क्या सूरज को टोपी की ज़रूरत है,Does sun need a hat
8588,Test User 501 | The Moon and The Cap MT L1 | Hindi -> English,ज़रा ढूँढिये आज मैंने कौन सी टोपी पहनी है,Just find out what hat I am wearing today.
8587,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,सियार और खरगोश बहुत अच्छे मित्र थे,Jackal and hare were very good friends.
8586,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,एक दिन सियार की पत्नी को बुख़ार आया,One day the wife of the jackal got fever.
8585,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,"सियार ने खरगोश को बुला कर कहा , ए दोस्त , मेरी पत्नी को तेज़ बुख़ार है","The jackal called the rabbit and said, ""hey friend,  my wife has high fever."""
8584,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,उसे कुछ भी खाना नहीं भा रहा है,"""She is not liking any food."""
8583,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,अब उसकी इच्छा केंकड़ा खाने की है,"""She desires to eat a crab."""
8582,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,खरगोश ने कहा कि चल कर एक केंकड़ा लाया जाए,The rabbit said that we'll go and get a crab.
8581,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,तुरंत ही दोनों मित्र केंकड़े की खोज में निकल पड़े,"Immediately,  both the friends left in search of a crab."
8580,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,सियार एक ओर गया और खरगोश दूसरी ओर गया,Jackal went in one direction and the rabbit went in the other.
8579,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,चलते - चलते खरगोश को कीचड़ में केंकड़े का एक बिल दिखा,"While walking,  the rabbit saw a hole of crab."
8578,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,उसने बिल में झाँक कर देखा,He looked inside the hole.
8577,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,एक मोटा केंकड़ा अन्दर बैठा था,A fat crab was sitting inside.
8576,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,"यह एकदम सही रहेगा , खरगोश ने सोचा","""This will be alright"", the rabbit thought."
8575,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,उसने ध्यान से बिल में हाथ डाला,He carefully put his paw inside.
8574,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,बिल गहरा था,The hole was deep.
8573,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,उसका हाथ न पहुँच पाने पर खरगोश ने अपनी पूँछ को बिल में डाला,"When his paw did not reach, he put his tail inside the hole."
8572,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,बिल में बैठे केंकड़े ने पूँछ को ज़ोर से काटा और जकड़ लिया,"The crab, sitting inside the hole, bit the tail and grabbed it."
8571,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,खरगोश चिल्लाया,The rabbit cried.
8570,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,खरगोश का चिल्लाना सुन कर सियार दौड़ा आया,"Hearing the rabbit's cry, the jackal came running."
8569,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,"खरगोश ने उससे कहा , अब देखो मत , मुझे ज़ोर से खींचो , मेरी पूँछ अन्दर फँसी हुई है","The rabbit said to him, ""don't just look, pull me with force, my tail is stuck inside."""
8568,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,सियार ने खरगोश के दोनों कान पकड़े और खींचने लगा,The jackal grabbed both the ears of the rabbit and started pulling.
8567,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,इधर - उधर हिलता देख कर केंकड़े ने खरगोश की पूँछ को फिर ज़ोर से काटा,"Looking at the tail move here and there, the crab cut the tail of the rabbit."
8566,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,दर्द के मारे खरगोश उछल पड़ा,The rabbit jumped in pain.
8565,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,उसकी पूँछ कट कर बिल के अन्दर रह गई,His tail got cut and remained inside the hole.
8564,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,सियार के खींचने से उसके कान लम्बे हो गए,His ears became long because the jackal pulled it.
8563,Test User | The Rabbit's Long Ears MT L2 | Hindi -> English,उसी दिन से खरगोश की दुम छोटी सी रह गई और उसके कान लम्बे हो गए,From that day the tail of the rabbit remained small and his ears became long.
8562,Test User 1101 | My Home MT L1 | Hindi -> English,यह मेरा घर है,This is my house .
8561,Test User 1101 | My Home MT L1 | Hindi -> English,मैं यहाँ अपने पूरे परिवार के साथ रहती हूँ,I live here with my whole family . 
8560,Test User 1101 | My Home MT L1 | Hindi -> English,हम अपने जूते और चप्पल यहाँ उतारते हैं,We take off our shoes and slippers here .
8559,Test User 1101 | My Home MT L1 | Hindi -> English,यहाँ हम अपने हाथ - मुँह धोते हैं,Here we wash our face and hands . 
8558,Test User 1101 | My Home MT L1 | Hindi -> English,मैं अपने कपड़े खूँटी पर टाँगती हूँ,I hang my clothes on peg . 
8557,Test User 1101 | My Home MT L1 | Hindi -> English,मेरे दादा जी अपनी छड़ी कोने में रखते हैं,My grandfather keeps his stick in the corner .
8556,Test User 1101 | My Home MT L1 | Hindi -> English,हम अपनी चटाइयाँ भी वहीं रखते हैं,We also keep our mats there . 
8555,Test User 1101 | My Home MT L1 | Hindi -> English,मेरे पिता जी अपनी मोटरसाइकिल बाहर रखते हैं,My father keeps his motorcycle outside . 
8554,Test User 1101 | My Home MT L1 | Hindi -> English,लेकिन उनका हेल्मेट अलमारी के ऊपर रहता है,But their helmet is kept on top of the almirah .
8553,Test User 1101 | My Home MT L1 | Hindi -> English,मेरी माँ और दादी अपनी साड़ियाँ बक्से में रखती हैं,My mother and grandmother keep their sarees in boxes .
8552,Test User 1101 | My Home MT L1 | Hindi -> English,स्वादिष्ट खाना रसोईघर में पकता है,Tasty food is cooked in the kitchen .
8551,Test User 1101 | My Home MT L1 | Hindi -> English,जब ठंड पड़ती है तो हम रज़ाइयाँ निकाल लेते हैं,"When it gets cold, we take out quilts ."
8550,Test User 1101 | My Home MT L1 | Hindi -> English,जब गर्मी पड़ती है तो हम एक पंखा चला लेते हैं,"When it gets hot , we run a fan ."
8549,Test User 1101 | My Home MT L1 | Hindi -> English,जब हमारे यहाँ ख़ास मेहमान आते हैं तो हम कुर्सियाँ निकालते हैं,When we have special guests we take out chairs . 
8548,Test User 1101 | My Home MT L1 | Hindi -> English,"तुम मेरे घर ज़रूर आना , मुझसे मिलने",You must come to my house to meet me .
8547,Test User 1101 | My Home MT L1 | Hindi -> English,जल्दी आना,Come soon .
8546,Test User 1001 | Under My Bed MT L2 | Hindi -> English,मेरी आँख खुली,My eyes opened
8545,Test User 1001 | Under My Bed MT L2 | Hindi -> English,मुझे प्यास लगी थी,I was thirsty . 
8544,Test User 1001 | Under My Bed MT L2 | Hindi -> English,पानी लाने के लिए मैंने अपनी चप्पल ढूँढी,I searched for my slippers to bring water
8543,Test User 1001 | Under My Bed MT L2 | Hindi -> English,हाय,oh
8542,Test User 1001 | Under My Bed MT L2 | Hindi -> English,मेरे पलंग के नीचे शेर है,There is a lion under my bed 
8541,Test User 1001 | Under My Bed MT L2 | Hindi -> English,अब क्या करूँ,Now what to do 
8540,Test User 1001 | Under My Bed MT L2 | Hindi -> English,माँ को बुलाऊँ,Shall I call the mother?
8539,Test User 1001 | Under My Bed MT L2 | Hindi -> English,कहीं शेर दहाड़ने लगा तो,what if the lion roars again
8538,Test User 1001 | Under My Bed MT L2 | Hindi -> English,फिर से सो जाऊँ,sleep again . 
8537,Test User 1001 | Under My Bed MT L2 | Hindi -> English,मगर नींद नहीं आती,But there was no sleep 
8536,Test User 1001 | Under My Bed MT L2 | Hindi -> English,अचानक किसी ने बत्ती जलाई,"Suddenly , someone turned on the light "
8535,Test User 1001 | Under My Bed MT L2 | Hindi -> English,दरवाज़े पर माँ खड़ी हैं,Mother is at the door
8534,Test User 1001 | Under My Bed MT L2 | Hindi -> English,क्या बात है बेटा,"What 's the matter, son?"
8533,Test User 1001 | Under My Bed MT L2 | Hindi -> English,माँ कहती हैं,Mother says 
8532,Test User 1001 | Under My Bed MT L2 | Hindi -> English,मुझे बुलाया था,I was called 
8531,Test User 1001 | Under My Bed MT L2 | Hindi -> English,मैं शेर की ओर इशारा करता हूँ,I point towards the lion 
8530,Test User 1001 | Under My Bed MT L2 | Hindi -> English,माँ झुकती हैं और शेर को खींचकर बाहर निकालती हैं,Mother bends and pulls the lion out 
8529,Test User 1001 | Under My Bed MT L2 | Hindi -> English,अरे,Hey 
8528,Test User 1001 | Under My Bed MT L2 | Hindi -> English,कोई शेर - वेर नहीं है,Not a lion 
8527,Test User 1001 | Under My Bed MT L2 | Hindi -> English,यह तो मेरा मोटा पीला - काला स्वेटर है,This is my thick yellow - black sweater 
8526,Test User 1001 | Under My Bed MT L2 | Hindi -> English,इसके बटन शेर की आँखों की तरह चमकते हैं,Its buttons are shining like the lion 's eyes 
8525,Test User 1001 | Under My Bed MT L2 | Hindi -> English,मैं तो ऐसे ही डर गया,I got scared just like that
8524,Test User 1001 | Under My Bed MT L2 | Hindi -> English,माँ मुझे पानी पिलाती हैं,mom gives me water 
8523,Test User 1001 | Under My Bed MT L2 | Hindi -> English,अब मैं सो जाऊँगा,Now I will go to sleep 
8522,Test User 1001 | Under My Bed MT L2 | Hindi -> English,जंगल में असली शेरों के सपने जो देखने हैं,dream about the real lions of the jungle
8521,Test User 1001 | My Home MT L1 | Hindi -> English,यह मेरा घर है,This is my house 
8520,Test User 1001 | My Home MT L1 | Hindi -> English,मैं यहाँ अपने पूरे परिवार के साथ रहती हूँ,I live here with my entire family
8519,Test User 1001 | My Home MT L1 | Hindi -> English,हम अपने जूते और चप्पल यहाँ उतारते हैं,we remove our footwear here
8518,Test User 1001 | My Home MT L1 | Hindi -> English,यहाँ हम अपने हाथ - मुँह धोते हैं,Here we wash our hands and face
8517,Test User 1001 | My Home MT L1 | Hindi -> English,मैं अपने कपड़े खूँटी पर टाँगती हूँ,I hang my clothes on hook
8516,Test User 1001 | My Home MT L1 | Hindi -> English,मेरे दादा जी अपनी छड़ी कोने में रखते हैं,My grandfather keeps his walking stick in the corner
8515,Test User 1001 | My Home MT L1 | Hindi -> English,हम अपनी चटाइयाँ भी वहीं रखते हैं,we also keep our mats there
8514,Test User 1001 | My Home MT L1 | Hindi -> English,मेरे पिता जी अपनी मोटरसाइकिल बाहर रखते हैं,my father parks his motorcycle outside 
8513,Test User 1001 | My Home MT L1 | Hindi -> English,लेकिन उनका हेल्मेट अलमारी के ऊपर रहता है,but his helmet is kept over the cupboard
8512,Test User 1001 | My Home MT L1 | Hindi -> English,मेरी माँ और दादी अपनी साड़ियाँ बक्से में रखती हैं,my mother and grandmother keep their sarees in  the box 
8511,Test User 1001 | My Home MT L1 | Hindi -> English,स्वादिष्ट खाना रसोईघर में पकता है,delicious food is prepared in the kitchen . 
8510,Test User 1001 | My Home MT L1 | Hindi -> English,जब ठंड पड़ती है तो हम रज़ाइयाँ निकाल लेते हैं,"when it is cold, we take out the blankets"
8509,Test User 1001 | My Home MT L1 | Hindi -> English,जब गर्मी पड़ती है तो हम एक पंखा चला लेते हैं,"when it is hot , we turn on the fan"
8508,Test User 1001 | My Home MT L1 | Hindi -> English,जब हमारे यहाँ ख़ास मेहमान आते हैं तो हम कुर्सियाँ निकालते हैं,"when special guests come, we bring out the chairs"
8507,Test User 1001 | My Home MT L1 | Hindi -> English,"तुम मेरे घर ज़रूर आना , मुझसे मिलने",Do come to my house to meet me
8506,Test User 1001 | My Home MT L1 | Hindi -> English,जल्दी आना,come soon 
