id,translatedSet,src,tgt
11451,Test User 1601 | कछुआ MT L4 | English -> Hindi,"the sun warmed me , and filled me with new energy",sooraj ki roshni se mujhe garmaahat mili aur mujhme nayi oorja bhar gayi 
11450,Test User 1601 | कछुआ MT L4 | English -> Hindi,"just as i was beginning to think that i would love to spend the rest of my life here , a school of fish went by","jaise hee maine sochna shuru kiya ki main apnee poori zindagi yaheen par bita doonga , waise hee machhliyon kaa ek jhund mere paas se guzra"
11449,Test User 1601 | कछुआ MT L4 | English -> Hindi,chasing them was a really big fish,unka peecha kar rahi thee ek bahut badi machhli
11448,Test User 1601 | कछुआ MT L4 | English -> Hindi,i could tell he was a really hungry fish too,main bata sakta tha ki wah ek bahut hee bhookhi machhli hai 
11447,Test User 1601 | कछुआ MT L4 | English -> Hindi,"when he saw me , his eyes lit up",mujhe dekhte hi uskee aankhen chamak uthee
11446,Test User 1601 | कछुआ MT L4 | English -> Hindi,"mmmmm , he seemed to be thinking , baby turtle soup","mmm, mano soch raha ho , chhote kachhue kaa soup"
11445,Test User 1601 | कछुआ MT L4 | English -> Hindi,"moments later , i was swimming as fast as i could , with those big teeth snapping at my little hind flippers",कुछ ही क्षणon केे बाद मैं बहुत तेज़ी से tair raha tha . mere peeche bade bade daant mere peeche ke paanvon ko khaane ke liye daud jo rahe the 
11444,Test User 1601 | कछुआ MT L4 | English -> Hindi,"just when i was beginning to tire , i saw a seaweed raft",जब मैं thakna shuru hua to maine ek samudree shaivaal ko dekha
11443,Test User 1601 | कछुआ MT L4 | English -> Hindi,"a seaweed raft is just that , a floating mass of seaweed and driftwood that travels around the ocean , carried along by the current","एक समुद्री शैवाल की naav ऐसी ही होती है , एक समुद्री शैवाल और लकड़ी का तैरने वाला एक टुकड़ा जो कि समुद्री बहाव के साथ महासागर में भ्रमण करता है "
11442,Test User 1601 | कछुआ MT L4 | English -> Hindi,"on and in the raft are the drifters , all the seas little and not - so - little creatures that float around the ocean , waiting for something to happen",बेड़े के अंदर और उपर बहुत से छोटे बड़े जीव हैं जो महासागर के आसपास कुछ होने की प्रतीक्षा में तैरते रहते हैं .
11441,Test User 1601 | कछुआ MT L4 | English -> Hindi,"gratefully , i slipped into the raft","भगवान की दया से , मैं बेड़े में फिसल कर गिर गया "
11440,Test User 1601 | कछुआ MT L4 | English -> Hindi,"i would not leave this safe haven for many , many years",मैं इस सुरक्षित स्थान को कई वर्षों तक छोड़ नहीं पाया 
11439,Test User 1601 | कछुआ MT L4 | English -> Hindi,being on the raft was like going on a world cruise,नाव पर होना ऐसा लगता था मानो विश्व भ्रमण पर जाना 
11438,Test User 1601 | कछुआ MT L4 | English -> Hindi,"i enjoyed it very much , but as i grew up , i decided it was time to explore the big wide world outside the raft","मुझे बहुत अच्छा लगा , लेकिन जैसे मैं बड़ा हुआ , मैने यह तय कर लिया था की बेड़े के बाहर की बड़ी दुनिया की khoj kaa samay aa gaya hai "
11437,Test User 1601 | कछुआ MT L4 | English -> Hindi,i had heard wonderful things about a place called the reef where a lot of other turtles lived,मैंने एक ऐसे स्थान के बारे में अद्भुत बातें सुनी थीं जहाँ पर बहुत सारे अन्य कछुए रहते थे 
11436,Test User 1601 | कछुआ MT L4 | English -> Hindi,everyone said the reef was the fairyland of the ocean,सभी ने कहा कि reef महासागर का पारीदेश था 
11435,Test User 1601 | कछुआ MT L4 | English -> Hindi,"they said it was full of beautiful , brightly - coloured creatures , both harmless ones like the clown fish and poisonous ones like the scorpion fish","उन्होंने कहा कि वह जगह सुंदर और चमकदार रंग के जानवरों से भरी हुई है , जैसे कि clown मछली जैसे हानीराहित और बिच्छू जैसे ज़हरीले जीव वहाँ रहते हैं ."
11434,Test User 1601 | कछुआ MT L4 | English -> Hindi,i wondered how i would find it,मैं सोचता था कि कैसे मैं इसे paunga
11433,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,i wake up at night feeling thirsty,रात mein meri neend khultee hai. mujhe pyaas lag rahi hai 
11432,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,i want to get some water,मैं पानी lana chahta hun 
11431,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,i start looking for my slippers under the bed,मैं अपनी chappalon को बिस्तर के नीचे dhhondane lagta हूँ
11430,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,oh my goodness,he bhagwaan !
11429,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,there is a tiger under my bed,मेरे बिस्तर ke neeche एक बाघ है
11428,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,now what should i do,अब main क्या karun ?
11427,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,should i call ma,क्या mujhe माँ को बुलाना चाहिए ?
11426,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,what if the tiger roars,kya ho agar baagh phir se dahaade ?
11425,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,should i just go back to sleep,kya main waapas सो jaaun?
11424,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,but i am not sleepy any more,लेकिन mujhe ab नींद नहीं आ rahi
11423,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,then someone turns on the light,फिर koi batti  jalaata है
11422,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,ma is standing at the door,माँ दरवाजे पर खड़ee है
11421,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,what happened dear,kya huaa mere bacche
11420,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,did you call me,क्या तुमne मुझे बुलाya
11419,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,asks ma,माँ पूछतee है
11418,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,i point towards the tiger,मैं बाघ की ओर ishaara karta hun 
11417,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,ma bends and pulls the tiger out from under the bed,माँ jhukti hai aur और baagh को बिस्तर से बाहर निकालtee hai 
11416,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,"hey , this is no tiger","अरे , यह कोई बाघ नहीं है"
11415,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,this is my thick yellow and black sweater,यह मेरa मोटa पीलe और काले rang kaa sweater है
11414,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,its buttons shine like a tigers eyes,इसके बटन एक बाघ की aankhon ki तरह चमकte हैं
11413,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,i got scared for nothing,main khamakha hi dar gaya 
11412,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,ma gets me some water,माँ mere liye paani laati है
11411,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,now i will sleep,अब मैं सो जाऊंगा
11410,Test User 1601 | मेरे पलंग के नीचे PE L2 | English -> Hindi,and dream about real tigers in a jungle,और जंगल में असली बाघ के बारे में सपनe dekhna
11409,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"dear… well , you know who you are","priya … khair , आप जानते हैं कि आप कौन हैं"
11408,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,and it is not like you are ever going to see this letter,और  aisa nahin hai ki aap iss chitthhi ko kabhi bhi dekhenge
11407,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,miss told me that i had to be your mentor and show you around because you are a new student,teacher ne मुझे बताया कि मुझे आपका संरक्षक बनना है और आपko school dikhaana hai kyunki आप एक नयye chhatra hain 
11406,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"i did not know what a mentor is , so i looked it up in the dictionary","मैं नहीं जानता था कि एक परामर्शदाता kaun है , तो मैं ne शब्दकोश में dekha "
11405,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"anyway , she did not tell me anything about that","वैसे भी , उसने मुझे उस बारे में कुछ नहीं बताया"
11404,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"ali and rahm and sumi and rani , they kept asking me about it when we were going home from school","अली और rahm और sumi और रानी , वे मुझसे poochhte रहे जब हम स्कूल से घर waapas जा रहे थे"
11403,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"i told them that i did not know what they were talking about , but that is not true","मैंने उनसे कहा कि मैं नहीं जानता था कि वे क्या बात कर रहे हैं , लेकिन यह सच नहीं है"
11402,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,how can i not know,mujhe kaise pata nahin hoga 
11401,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"see , you made me lie to my friends","देखो , तुमने mujhe मेरे मित्रों se झूठ bolne par majboor kiya"
11400,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"yours sincerely , me hi again , ma says that it is not good to stare at people , but i can see that everyone stares at you","आपका shubhchintak , मैं , फिर से namaste  , माँ कहतee है कि लोगों को ghoorna अच्छा नहीं है , लेकिन मैं देखta hun ki हर व्यक्ति tumhe ghoorta hai"
11399,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,they stare at me too because i have to hang around with you and be your mentor, वे मुझे भी ghoorte हैं क्योंकि मुझे aapke आसपास  aur aapke saath रहना padta है आपका संरक्षक bankar 
11398,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,why did you come to our school,tum हमारे स्कूल में क्यों आए
11397,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,why will you continue going to whatever school you went to earlier,"tum jis bhi भी स्कूल mein pehle जा rahe the, wahan phir se kyun jaaoge"
11396,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,do you know what happened yesterday,क्या tum जानते ho ki कल क्या हुआ tha
11395,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"rahm , ali and two of their friends from class vii cornered me after school to ask about you know what","school chhootne ke baad raham  , अली और unke kaksha 7 ke  दो aur दोस्तों ne mujhe kone mein pakad liya aur usee cheez ke baare mein poochha"
11394,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,they took my bag and would not give it back,उन्होंने मेरे बैग le लिया और use वापस नहीं de rahe the 
11393,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,then they threw it into the thicket by the side of the road and i had to scramble down into the mountainside to get it,फिर उन्होंने उसे sadak के किनारे jhaadiyon mein  फेंक दिया और मुझे use prapt karne ke liye पहाड़ee se neeche ghisatkar jaana pada 
11392,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,i tore my shirt and ma was angry with me,मैंने अपनी कमीज़ phhad di और माँ mujhse naraaz ho gai 
11391,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,this is all your fault,यह सब आपका दोष है
11390,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"me hello , i keep telling them that they can ask you whatever they want to know","namaskaar , मैं उन्हें कहta rehta हूँ कि वे जो कुछ bhi aapse जानना चाहते हैं wo aapse poochh सकते हैं"
11389,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,what is the point of asking me,मुझसेpoochhne का क्या Matlab ?
11388,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,how am i supposed to know why you have that thing or how it works,मुझे kaise पता कि क्या आप ke paas यह क्यों है या phir ye कैसे काम करता है
11387,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"to be really honest , i ca not say i am not curious myself or that i do not have the same questions the others are asking me","imaandaari se kahun to , aisa nahin hai ki main utsuk nahin hun yaa phir mere paas bhi wahi sawaal nahin hai jo doosare mujhse poochte hain . "
11386,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"yes , i noticed it the first day when you came into the classroom","हाँ , मैंने pehle din hee dekh liyaa था जब tum कक्षा में आये the"
11385,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,i saw how you did everything with one hand and how your left hand never moved,मैंने देखा कि कैसे आपने sab kuchh एक हाथ se hee किया और कैसे aapke bayan haath hila bhi nahin 
11384,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,at first i could not tell what the problem was,पहले to मैं यह samajh नहीं payaa कि समस्या क्या थी
11383,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"then , when i came closer , i saw that something was not quite right","फिर जब मैं नजदीक आया तो मैंने देखा कि कुछ to alag tha , kuchh sahi saa nahi lag raha tha "
11382,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"it looked weird , like it was covered in plastic or something","wah kuchh ajeeb saa dikh raha tha , mano uspar ek plastic ki parat chadhi ho "
11381,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,then i thought it was a toy hand,phir maine socha ki ye ek haath jaisa khilona hai
11380,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,it took me some time to understand,मुझे कुछ समय laga samajhne mein 
11379,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"also , i saw what happened at lunch","भी , मैंने देखा कि भोजन में क्या हुआ"
11378,Test User 1601 | थोड़ी सी मदद PE L4 | English -> Hindi,"see you , me",phir milte hain . main 
11377,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,my favorite person in my family is my grandma,mere parivaar mein meri pasandeeda vyakti meri daadi hai 
11376,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,she makes yummy laddoos for me,wah mere liye swaadisht laddoo banaati hain 
11375,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,her laddoos are big and soft with a tiny cashew nut on top,unke laddoo bade aur mulaayam hote hain aur unke upar chhota sa kaju laga hota hai 
11374,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,my grandma also helps me read new books,meri daadi mujhe kitaben padhne mein bhi madad kartee hai 
11373,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,grandma is also very brave,daadi bahut bhaadur bhi hai 
11372,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,she is not afraid of spiders,wah makdiyon se nahin dartee
11371,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,she shoos them away with a newspaper in hand,wo haath mein akhbaar lekar unhe bhagaa deti hai 
11370,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,i like to help my grandma,mujhe apnee daadi ki madad karna achha lagta hai 
11369,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,"she tells me interesting tales from her childhood , while i help her peel the peas",wo mujhe apne bachpan ke dilchasp kisse sunaati hai jab main unkee matar cheelne mein madad karti hun 
11368,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,the yellow sweater that she knitted for me is my favorite,jo peela sweater unhonen mere liye buna tha wo mera pasandeeda sweater hai 
11367,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,i love my grandma,main apni daadi se pyaar kartee hun 
11366,Test User 1601 | नानी की ऐनक BL L2 | English -> Hindi,she really is the best,"wah vaastav mein sabse achhi hai 
"
11365,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,"in a little hilly hamlet of southern india , lived a young girl called maya","dakshin bhaarat ke ek chhote se pahadi shahar mein, ek chhoti si ladki rehtee thi jiska naam maya tha.
"
11364,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,she lived in a hut with her mother,"wo apni maa ke saath ek jhopdi mein rehti thee
"
11363,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,her house was surrounded by the tallest and greenest trees you would have ever seen,"uska ghar khoob unche aur bade padeon se ghira hua tha , jinhe aapne shayad hi kabhi dekha ho . "
11362,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,"on misty days , the leaves of plants and trees held the biggest dewdrops you could imagine","dhundh ke dinon mein, paudhon aur pedon ki pattiyon mein aapki kalpana se bhi badi  os ki boonden hoti hain.
"
11361,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,maya was as sprightly as her name,maya apne naam ki tarah hee furteeli thi. 
11360,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,"she , along with her friends , would prance through the endless forests around her village",wah apne doston ke saath antheen junglon mein bebaak ghoomti thi. 
11359,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,she loved to take in deep breaths every morning as the air carried all kinds of different aromas,use roz subah gehree saansen lena bahut achha lagta tha kyunki hawa mein alg alg tarah ki sagandhen behtee theen
11358,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,"sometimes she could smell a sweet , sweet fragrance",kabhi - kabhi use ek meethi meethi sugandh aati thi
11357,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,at other times it was a strong and sharp scent,anya samay mein wah ek tez gandh hoti thi.
11356,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,then there were days when all she could smell was a familiar bouquet,"phir kuchh aise bhi din the jab wo sirf ek chit prichit guldaste ko soogh paati thi.
"
11355,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,waking up to those refreshing scents was the best way for maya to begin her day,un manmohak taaza sugandhon ke saath jagnaa maya ke din ki suruaatko aur bhi behtar banaa deta tha.
11354,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,"then there was rahm the parrot , who would fly in to the village every morning , perch himself atop a tree facing mayas hut , and tell her of the entire buzz in the forest",aur wahan raham naam kaa ek totaa tha jo roz subah gaanv mein udkar aataa tha.phir maya ki jhopdi le saamne waale ped par baith jaata tha aur use saare gaanv ki mazedaar khabaren sunaata tha.
11353,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,he would also tell her of his flights to different lands and of people who lived there,"wah use apnee door desh ki udaanon aur wahan rehne waale logon ke baare mein bhi bataata tha.
"
11352,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,maya loved to hear rahms tales,maya ko raham kee kahaniyan sunna behadd pasand tha.
11351,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,she longed to visit these lands and see their different sights,wo in jagahon par jaane aur alag alag nazaare dekhne ke liye taras gayee. 
11350,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,her heart would race and thump loudly as rahm would speak but it would always end with a deep sigh,jab raham bolta to uska dil bahut tez dhadakta aur zoron se bhaagne lagta.lekin ye sab hamesha ek gehree aah ke saath khatam ho jaata.
11349,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,she had to stop dreaming of faraway lands when she had never even been to senseless point,use apne door desh jaane ke sapne dekhna band karna pada jabki wo us moorkhtaapoorna bindu par kabhi gayi bhi nahin thi.
11348,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,everybody in the village talked of senseless point,gaanv ke har vyakti ne us moorkhtapoorna bindu ke baare mein baat karee
11347,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,a few people from the neighbouring villages had been there but no one from her own village,aas-paas ke gaavon ke kuchh log wahan gaye the par uske apne gaanv kaa koi nahin tha 
11346,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,"from all the talk around , it seemed like a mysterious place promising an experience of a lifetime",sabhi kee baton se yeh ek rahasyamay jagah ki tarah lag raha tha jo ki jeevan ke sabse mazedaar anubhav kaa vaada karta hai 
11345,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,"maya believed that if she ever had the chance to go to senseless point , she would return to her hamlet and describe it to everyone","maya ka ye manna tha ki agar use kabhi mauka mila moorkhtaapoorna bindu par jaane ka to wo apne chhote se gaanv mein waapas lautegi aur sabhi ko iska varnan karegi
"
11344,Test User 1601 | मसाला चाय BL L4 | English -> Hindi,she would tell everyone about this mysterious place,"wo is rahasyamayee jagah ke baare mein sabko batati thee
"
11343,Test User 801 | नानी की ऐनक MT L2 | English -> Hindi,my favorite person in my family is my grandma,मेरे परिवार में सबसे प्रिय मुझे मेरी दादी हैं 
11342,Test User 801 | नानी की ऐनक MT L2 | English -> Hindi,she makes yummy laddoos for me,वह मेरे लिए स्वादिष्ट लड्डू बनाती है 
11341,Test User 801 | नानी की ऐनक MT L2 | English -> Hindi,her laddoos are big and soft with a tiny cashew nut on top,उनके बनाये लड्डू बड़े और नर्म होते हैं और उनके ऊपर एक काजू लगा होता हैं । 
11340,Test User 801 | नानी की ऐनक MT L2 | English -> Hindi,my grandma also helps me read new books,मेरी दादी मुझे नई किताबें पढ़ने में भी मदद करती हैं । 
11339,Test User 801 | नानी की ऐनक MT L2 | English -> Hindi,grandma is also very brave,दादी बहुत बहादुर है 
11338,Test User 801 | नानी की ऐनक MT L2 | English -> Hindi,she is not afraid of spiders,उन्हें मकड़ी से डर नहीं लगता हैं । 
11337,Test User 801 | नानी की ऐनक MT L2 | English -> Hindi,she shoos them away with a newspaper in hand,हाथ में पकड़े अखबार से दूर कर देती हैं  हैं । 
11336,Test User 801 | नानी की ऐनक MT L2 | English -> Hindi,i like to help my grandma,मुझे अपनी दादी की मदद करना पसंद है 
